Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ICDC.Cs424	GCA_015889725.1	GCA_015889725.1	SAMN12388756	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs271	GCA_015889745.1	GCA_015889745.1	SAMN12388681	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs091	GCA_015889765.1	GCA_015889765.1	SAMN12388645	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs095	GCA_015889785.1	GCA_015889785.1	SAMN12388646	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs064	GCA_015889805.1	GCA_015889805.1	SAMN12388636	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs398	GCA_015889825.1	GCA_015889825.1	SAMN12388736	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs061	GCA_015889845.1	GCA_015889845.1	SAMN12388635	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs394	GCA_015889885.1	GCA_015889885.1	SAMN12388733	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs389	GCA_015889905.1	GCA_015889905.1	SAMN12388729	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs387	GCA_015889925.1	GCA_015889925.1	SAMN12388727	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs396	GCA_015889945.1	GCA_015889945.1	SAMN12388735	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs013	GCA_015889965.1	GCA_015889965.1	SAMN12388619	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs072	GCA_015889985.1	GCA_015889985.1	SAMN12388639	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs004	GCA_015890005.1	GCA_015890005.1	SAMN12388618	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs070	GCA_015890025.1	GCA_015890025.1	SAMN12388638	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs067	GCA_015890045.1	GCA_015890045.1	SAMN12388637	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs087	GCA_015890065.1	GCA_015890065.1	SAMN12388643	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs384	GCA_015890085.1	GCA_015890085.1	SAMN12388725	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs089	GCA_015890105.1	GCA_015890105.1	SAMN12388644	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs079	GCA_015890125.1	GCA_015890125.1	SAMN12388642	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs257	GCA_015890145.1	GCA_015890145.1	SAMN12388677	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs259	GCA_015890165.1	GCA_015890165.1	SAMN12388678	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs374	GCA_015890185.1	GCA_015890185.1	SAMN12388718	PRJNA514245	2017	"	China: Tangshan"	patient	Cather Tip
Corynebacterium striatum	ICDC.Cs076	GCA_015890205.1	GCA_015890205.1	SAMN12388641	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs375	GCA_015890225.1	GCA_015890225.1	SAMN12388719	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs372	GCA_015890245.1	GCA_015890245.1	SAMN12388717	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs377	GCA_015890265.1	GCA_015890265.1	SAMN12388721	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs379	GCA_015890285.1	GCA_015890285.1	SAMN12388722	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
